Movie Rank,Movie Name,Release Year,IMdB Rating,Cast
105,Snatch,2000,8.2,"Guy Ritchie (dir.), Jason Statham, Brad Pitt"
,,,,
106,Scarface,1983,8.2,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer"
,,,,
107,Taxi Driver,1976,8.2,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster"
,,,,
108,Ikiru,1952,8.2,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko"
,,,,
109,Lawrence of Arabia,1962,8.2,"David Lean (dir.), Peter O'Toole, Alec Guinness"
,,,,
110,Amélie,2001,8.2,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz"
,,,,
111,Toy Story 3,2010,8.2,"Lee Unkrich (dir.), Tom Hanks, Tim Allen"
,,,,
112,The Sting,1973,8.2,"George Roy Hill (dir.), Paul Newman, Robert Redford"
,,,,
113,Metropolis,1927,8.2,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
,,,,
114,Jodaeiye Nader az Simin,2011,8.2,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami"
,,,,
115,Incendies,2010,8.2,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin"
,,,,
116,Per qualche dollaro in più,1965,8.2,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef"
,,,,
117,The Apartment,1960,8.2,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
,,,,
118,Idi i smotri,1985,8.2,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova"
,,,,
119,Double Indemnity,1944,8.2,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
,,,,
120,To Kill a Mockingbird,1962,8.2,"Robert Mulligan (dir.), Gregory Peck, John Megna"
,,,,
121,Up,2009,8.2,"Pete Docter (dir.), Edward Asner, Jordan Nagai"
,,,,
122,Indiana Jones and the Last Crusade,1989,8.2,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
,,,,
123,L.A. Confidential,1997,8.2,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
,,,,
124,Heat,1995,8.2,"Michael Mann (dir.), Al Pacino, Robert De Niro"
,,,,
125,Die Hard,1988,8.2,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
,,,,
126,Monty Python and the Holy Grail,1975,8.2,"Terry Gilliam (dir.), Graham Chapman, John Cleese"
,,,,
127,Rashômon,1950,8.2,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô"
,,,,
128,Batman Begins,2005,8.2,"Christopher Nolan (dir.), Christian Bale, Michael Caine"
,,,,
129,Yôjinbô,1961,8.2,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno"
,,,,
130,Green Book,2018,8.2,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali"
,,,,
131,Bacheha-Ye aseman,1997,8.2,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian"
,,,,
132,Der Untergang,2004,8.2,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara"
,,,,
133,Unforgiven,1992,8.2,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman"
,,,,
134,Ran,1985,8.2,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao"
,,,,
135,Some Like It Hot,1959,8.2,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis"
,,,,
136,Hauru no ugoku shiro,2004,8.2,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura"
,,,,
137,Anand,1971,8.2,"Hrishikesh Mukherjee (dir.), Rajesh Khanna, Amitabh Bachchan"
,,,,
138,A Beautiful Mind,2001,8.2,"Ron Howard (dir.), Russell Crowe, Ed Harris"
,,,,
139,The Great Escape,1963,8.2,"John Sturges (dir.), Steve McQueen, James Garner"
,,,,
140,Casino,1995,8.2,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone"
,,,,
141,All About Eve,1950,8.2,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter"
,,,,
142,The Wolf of Wall Street,2013,8.2,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill"
,,,,
143,Pan's Labyrinth,2006,8.2,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil"
,,,,
144,El secreto de sus ojos,2009,8.1,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil"
,,,,
145,"Lock, Stock and Two Smoking Barrels",1998,8.1,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher"
,,,,
146,Raging Bull,1980,8.1,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty"
,,,,
147,Tonari no Totoro,1988,8.1,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka"
,,,,
148,There Will Be Blood,2007,8.1,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano"
,,,,
149,Judgment at Nuremberg,1961,8.1,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster"
,,,,
150,The Treasure of the Sierra Madre,1948,8.1,"John Huston (dir.), Humphrey Bogart, Walter Huston"
,,,,
151,"Three Billboards Outside Ebbing, Missouri",2017,8.1,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson"
,,,,
152,Dial M for Murder,1954,8.1,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly"
,,,,
153,Chinatown,1974,8.1,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway"
,,,,
154,The Gold Rush,1925,8.1,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain"
,,,,
155,Babam ve Oglum,2005,8.1,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan"
,,,,
156,Shutter Island,2010,8.1,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer"
,,,,
157,No Country for Old Men,2007,8.1,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem"
,,,,
